Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles,Total Vehicles,Vehicle Density
163,0,0,0,0,0,0,0,0,11,49.88297815,5.433333333,11,11,5.30E-06
164,0,0,0,0,0,0,0,0,11,38.92904266,5.466666667,11,11,5.30E-06
165,0,0,0,0,0,0,0,0,11,57.26438206,5.5,11,11,5.30E-06
166,0,0,0,0,0,0,0,0,11,32.61935075,5.533333333,11,11,5.30E-06
167,0,0,0,0,0,0,0,0,11,36.77700927,5.566666667,11,11,5.30E-06
168,0,0,0,0,0,0,0,0,11,58.54978104,5.6,11,11,5.30E-06
169,0,0,0,0,0,0,0,0,11,51.61564187,5.633333333,11,11,5.30E-06
170,0,0,0,0,0,0,0,0,11,49.25499422,5.666666667,11,11,5.30E-06
171,0,0,0,0,0,0,0,0,11,37.50063171,5.7,11,11,5.30E-06
172,0,0,0,0,0,0,0,0,11,50.86575732,5.733333333,11,11,5.30E-06
173,1,0,0,0,0,0,1,0,10,30.41894821,5.766666667,11,11,5.30E-06
174,0,0,0,0,0,0,0,0,9,57.01092114,5.8,9,9,4.34E-06
175,0,0,0,0,0,0,0,0,9,52.42265526,5.833333333,9,9,4.34E-06
176,0,0,0,0,0,0,0,0,9,43.70570813,5.866666667,9,9,4.34E-06
177,0,0,0,0,0,0,0,0,9,34.11521276,5.9,9,9,4.34E-06
178,0,0,0,0,0,0,0,0,9,58.0390991,5.933333333,9,9,4.34E-06
179,0,0,0,0,0,0,0,0,9,31.37490221,5.966666667,9,9,4.34E-06
180,0,0,0,0,0,0,0,0,9,58.80117794,6,9,9,4.34E-06
181,0,0,0,0,0,0,0,0,9,54.95555523,6.033333333,9,9,4.34E-06
182,0,0,0,0,0,0,0,0,9,52.42451631,6.066666667,9,9,4.34E-06
183,0,0,0,0,0,0,0,0,9,58.26857523,6.1,9,9,4.34E-06
184,0,1,0,0,0,0,1,0,9,46.82823611,6.133333333,10,10,4.82E-06
185,0,0,0,1,0,0,0,1,9,37.93938296,6.166666667,10,9,4.34E-06
186,0,0,0,0,0,0,0,0,9,49.57251195,6.2,9,9,4.34E-06
187,0,0,0,0,0,0,0,0,9,33.95312348,6.233333333,9,9,4.34E-06
188,0,0,0,0,0,0,0,0,9,31.65561972,6.266666667,9,9,4.34E-06
189,0,0,0,0,0,0,0,0,9,58.6578231,6.3,9,9,4.34E-06
190,0,0,0,0,0,0,0,0,9,36.48612394,6.333333333,9,9,4.34E-06
191,0,0,0,0,0,0,0,0,9,37.74094206,6.366666667,9,9,4.34E-06
192,0,0,0,0,0,0,0,0,9,38.47259415,6.4,9,9,4.34E-06
193,0,1,0,0,0,0,1,0,8,45.58775251,6.433333333,9,9,4.34E-06
194,0,0,0,1,0,0,0,1,8,55.45929078,6.466666667,9,8,3.86E-06
195,0,0,0,0,0,0,0,0,9,31.35047607,6.5,9,9,4.34E-06
196,0,0,0,0,0,0,0,0,9,55.63665849,6.533333333,9,9,4.34E-06
197,0,0,0,0,0,0,0,0,9,39.6026551,6.566666667,9,9,4.34E-06
198,0,0,0,0,0,0,0,0,9,41.12753178,6.6,9,9,4.34E-06
199,0,0,0,0,0,0,0,0,9,55.02961208,6.633333333,9,9,4.34E-06
200,0,0,0,0,0,0,0,0,9,31.22873948,6.666666667,9,9,4.34E-06
201,0,0,0,0,0,0,0,0,9,33.76021272,6.7,9,9,4.34E-06
202,0,0,0,0,0,0,0,0,9,39.96066995,6.733333333,9,9,4.34E-06
203,0,0,0,0,0,0,0,0,9,54.25525057,6.766666667,9,9,4.34E-06
204,0,0,0,0,0,0,0,0,9,53.20824624,6.8,9,9,4.34E-06
205,0,0,0,0,0,0,0,0,9,50.72420621,6.833333333,9,9,4.34E-06
206,0,0,0,0,0,0,0,0,9,50.21079203,6.866666667,9,9,4.34E-06
207,0,0,0,0,0,0,0,0,9,38.74916262,6.9,9,9,4.34E-06
208,0,0,0,0,0,0,0,0,9,50.32056485,6.933333333,9,9,4.34E-06
209,0,0,0,0,0,0,0,0,9,57.73433644,6.966666667,9,9,4.34E-06
210,0,0,0,0,0,0,0,0,8,47.10644468,7,8,8,3.86E-06
211,0,0,0,0,0,0,0,0,8,56.56367005,7.033333333,8,8,3.86E-06
212,0,0,0,0,0,0,0,0,8,55.44645535,7.066666667,8,8,3.86E-06
213,0,0,0,0,0,0,0,0,8,50.39094882,7.1,8,8,3.86E-06
214,0,0,0,0,0,0,0,0,7,53.56077943,7.133333333,7,7,3.38E-06
215,0,0,0,0,0,0,0,0,6,36.22068566,7.166666667,6,6,2.89E-06
